날짜,섹터그룹,비중
2026-08-14,가구,1.2525619924941749
2026-08-14,건설,1.420301833791893
2026-08-14,기계,4.185657722101936
2026-08-14,반도체,3.5335103017294984
2026-08-14,소비재,13.431728600363064
2026-08-14,식품,13.384698738316974
2026-08-14,엔터,2.511394633261161
2026-08-14,유통 물류,3.124350501928523
2026-08-14,의료바이오,19.6540928814743
2026-08-14,전기전자,5.304968438798857
2026-08-14,항공우주,30.89871016326757
2026-08-14,해운,1.2980241924720608
2026-08-18,가구,1.2409865793479973
2026-08-18,건설,1.4071762714509206
2026-08-18,기계,5.071115371177987
2026-08-18,반도체,3.500855757009244
2026-08-18,소비재,13.30760076577427
2026-08-18,식품,13.26100552499775
2026-08-18,엔터,2.488185857466197
2026-08-18,유통 물류,3.095477162253516
2026-08-18,의료바이오,19.47246175544645
2026-08-18,전기전자,5.255943159591518
2026-08-18,항공우주,30.61316315005219
2026-08-18,해운,1.2860286454319672
2026-08-19,가구,1.2409865793479973
2026-08-19,건설,1.4071762714509206
2026-08-19,기계,5.071115371177987
2026-08-19,반도체,3.500855757009244
2026-08-19,소비재,13.30760076577427
2026-08-19,식품,13.26100552499775
2026-08-19,엔터,2.488185857466197
2026-08-19,유통 물류,3.095477162253516
2026-08-19,의료바이오,19.47246175544645
2026-08-19,전기전자,5.255943159591518
2026-08-19,항공우주,30.61316315005219
2026-08-19,해운,1.2860286454319672
2026-08-20,가구,1.2409865793479973
2026-08-20,건설,1.4071762714509206
2026-08-20,기계,5.071115371177987
2026-08-20,반도체,3.500855757009244
2026-08-20,소비재,13.30760076577427
2026-08-20,식품,13.26100552499775
2026-08-20,엔터,2.488185857466197
2026-08-20,유통 물류,3.095477162253516
2026-08-20,의료바이오,19.47246175544645
2026-08-20,전기전자,5.255943159591518
2026-08-20,항공우주,30.61316315005219
2026-08-20,해운,1.2860286454319672
2026-08-21,가구,1.2409865793479973
2026-08-21,건설,1.4071762714509206
2026-08-21,기계,5.071115371177987
2026-08-21,반도체,3.500855757009244
2026-08-21,소비재,13.30760076577427
2026-08-21,식품,13.26100552499775
2026-08-21,엔터,2.488185857466197
2026-08-21,유통 물류,3.095477162253516
2026-08-21,의료바이오,19.47246175544645
2026-08-21,전기전자,5.255943159591518
2026-08-21,항공우주,30.61316315005219
2026-08-21,해운,1.2860286454319672
2026-08-24,가구,1.2409865793479973
2026-08-24,건설,1.4071762714509206
2026-08-24,기계,5.071115371177987
2026-08-24,반도체,3.500855757009244
2026-08-24,소비재,13.30760076577427
2026-08-24,식품,13.26100552499775
2026-08-24,엔터,2.488185857466197
2026-08-24,유통 물류,3.095477162253516
2026-08-24,의료바이오,19.47246175544645
2026-08-24,전기전자,5.255943159591518
2026-08-24,항공우주,30.61316315005219
2026-08-24,해운,1.2860286454319672
2026-08-25,가구,1.2409865793479973
2026-08-25,건설,1.4071762714509206
2026-08-25,기계,5.071115371177987
2026-08-25,반도체,3.500855757009244
2026-08-25,소비재,13.30760076577427
2026-08-25,식품,13.26100552499775
2026-08-25,엔터,2.488185857466197
2026-08-25,유통 물류,3.095477162253516
2026-08-25,의료바이오,19.47246175544645
2026-08-25,전기전자,5.255943159591518
2026-08-25,항공우주,30.61316315005219
2026-08-25,해운,1.2860286454319672
2026-08-26,가구,1.2409865793479973
2026-08-26,건설,1.4071762714509206
2026-08-26,기계,5.071115371177987
2026-08-26,반도체,3.500855757009244
2026-08-26,소비재,13.30760076577427
2026-08-26,식품,13.26100552499775
2026-08-26,엔터,2.488185857466197
2026-08-26,유통 물류,3.095477162253516
2026-08-26,의료바이오,19.47246175544645
2026-08-26,전기전자,5.255943159591518
2026-08-26,항공우주,30.61316315005219
2026-08-26,해운,1.2860286454319672
2026-08-27,가구,1.0603226167386972
2026-08-27,건설,1.1961207267737957
2026-08-27,기계,1.9779886330364829
2026-08-27,반도체,1.4347961928960895
2026-08-27,소비재,14.21792495086668
2026-08-27,식품,13.509580061754308
2026-08-27,에너지기자재,2.348347114950388
