종목명,종목코드,섹터,수량,평단가,현재가,등락률,업데이트시각,통화,매입금액KRW
서흥,008490,제약바이오,12.0,23241.58333333333,21950.0,0.23,08/28 10:27,원,278899.0
성광벤드,014620,기계,3.0,24908.33333333333,31850.0,5.64,08/28 10:27,원,74725.0
CJ제일제당,097950,식품,1.0,185200.0,186200.0,-0.05,08/28 10:27,원,185200.0
유한양행,000100,제약바이오,1.0,82000.0,82700.0,0.0,08/28 10:27,원,82000.0
사조대림,003960,식품,2.0,30150.0,30850.0,1.48,08/28 10:27,원,60300.0
한국단자,025540,전기전자,3.0,57400.0,54400.0,-2.51,08/28 10:27,원,172200.0
신세계인터내셔날,031430,섬유의류,11.0,10536.363636363636,10340.0,-1.15,08/28 10:27,원,115900.0
JYP Ent.,035900,엔터테인먼트,2.0,40025.0,39400.0,-0.88,08/28 10:27,원,80050.0
영원무역,111770,섬유의류,3.0,78100.0,72200.0,-1.63,08/28 10:27,원,234300.0
종근당,185750,제약바이오,1.0,67300.0,67100.0,0.0,08/28 10:27,원,67300.0
심텍,222800,반도체소재,1.0,108800.0,123200.0,-2.92,08/28 10:27,원,108800.0
레드와이어,RDW,항공우주,79.0,13.135315189873417,11.27,0.0,08/28 10:27,USD,1454652.4613999997
한샘,009240,가구,1.0,39000.0,38650.0,-0.51,08/28 10:27,원,39000.0
노바렉스,194700,식품,4.0,11265.0,11340.0,-1.48,08/28 10:27,원,45060.0
오리온,271560,식품,1.0,123100.0,126200.0,0.0,08/28 10:27,원,123100.0
코오롱티슈진,950160,제약바이오,7.0,19745.714285714286,18400.0,-1.81,08/28 10:27,원,138220.0
한국가구,004590,유통,5.0,4815.0,4890.0,-1.21,08/28 10:27,원,24075.0
오스테오닉,226400,의료기기,10.0,4215.0,4300.0,0.58,08/28 10:27,원,42150.0
와이지-원,019210,기계,5.0,13980.0,14420.0,-0.76,08/28 10:27,원,69900.0
아스테라시스,450950,의료기기,8.0,5240.0,5360.0,1.71,08/28 10:27,원,41920.0
삼성중공업,010140,조선,2.0,20300.0,21050.0,0.24,08/28 10:27,원,40600.0
계룡건설,013580,건설,2.0,22300.0,21800.0,-2.02,08/28 10:27,원,44600.0
미스토홀딩스,081660,섬유의류,2.0,41850.0,40600.0,-0.49,08/28 10:27,원,83700.0
이마트,139480,유통,1.0,74300.0,73900.0,-0.14,08/28 10:27,원,74300.0
원익QnC,074600,반도체소재,2.0,26000.0,26150.0,-2.06,08/28 10:27,원,52000.0
비츠로셀,082920,전기전자,1.0,29050.0,29600.0,1.37,08/28 10:27,원,29050.0
해태제과식품,101530,식품,7.0,5550.0,5590.0,0.18,08/28 10:27,원,38850.0
매일유업,267980,식품,1.0,34000.0,33850.0,-0.59,08/28 10:27,원,34000.0
마녀공장,439090,화장품,2.0,17140.0,17260.0,2.07,08/28 10:27,원,34280.0
